<msg_type>  <time>  <packet_type>  <seq>  <size>  <ack>
snd         7986.53        D       21152  50      1     
rcv         7998.325       A       1      0       21052 
snd         8003.874       D       21202  50      1     
rcv         8014.328       A       1      0       21102 
snd         8014.522       D       21252  50      1     
rcv         8014.63        A       1      0       21152 
rcv         8014.723       A       1      0       21202 
snd         8014.811       D       21302  50      1     
rcv         8014.964       A       1      0       21252 
snd         8015.091       D       21352  50      1     
snd         8015.171       D       21402  50      1     
snd         8015.242       D       21452  50      1     
rcv         8031.535       A       1      0       21302 
snd         8048.943       D       21502  50      1     
rcv         8055.004       A       1      0       21352 
snd         8060.405       D       21552  50      1     
drop        8060.405       D       21602  50      1     
rcv         8076.975       A       1      0       21402 
snd         8093.733       D       21602  50      1     
rcv         8105.374       A       1      0       21452 
snd         8116.361       D       21652  50      1     
rcv         8133.763       A       1      0       21502 
snd         8144.849       D       21702  50      1     
drop        8144.849       D       21752  50      1     
rcv         8155.476       A       1      0       21552 
snd         8178.204       D       21752  50      1     
rcv         8178.302       A       1      0       21602 
snd         8189.447       D       21802  50      1     
rcv         8205.953       A       1      0       21652 
snd         8212.311       D       21852  50      1     
rcv         8229.315       A       1      0       21702 
snd         8247.187       D       21902  50      1     
drop        8247.187       D       21952  50      1     
rcv         8264.614       A       1      0       21752 
rcv         8276.436       A       1      0       21802 
snd         8276.582       D       21952  50      1     
rcv         8281.918       A       1      0       21852 
snd         8288.423       D       22002  50      1     
rcv         8305.114       A       1      0       21902 
snd         8322.565       D       22052  50      1     
rcv         8334.689       A       1      0       21952 
snd         8351.138       D       22102  50      1     
rcv         8361.802       A       1      0       22002 
snd         8372.884       D       22152  50      1     
rcv         8389.622       A       1      0       22052 
snd         8407.497       D       22202  50      1     
rcv         8423.063       A       1      0       22102 
snd         8438.877       D       22252  50      1     
rcv         8461.545       A       1      0       22152 
snd         8467.031       D       22302  50      1     
rcv         8478.286       A       1      0       22202 
snd         8495.004       D       22352  50      1     
rcv         8495.095       A       1      0       22252 
snd         8511.573       D       22402  50      1     
rcv         8522.45        A       1      0       22302 
snd         8534.863       D       22452  50      1     
rcv         8551.672       A       1      0       22352 
snd         8568.828       D       22502  50      1     
rcv         8579.139       A       1      0       22402 
rcv         8601.68        A       1      0       22452 
snd         8619.9         D       22552  50      1     
rcv         8625.217       A       1      0       22502 
snd         8646.9         D       22602  50      1     
rcv         8652.903       A       1      0       22552 
snd         8658.191       D       22652  50      1     
rcv         8676.331       A       1      0       22602 
snd         8693.397       D       22702  50      1     
rcv         8717.089       A       1      0       22652 
snd         8723.281       D       22752  50      1     
rcv         8729.049       A       1      0       22702 
snd         8746.688       D       22802  50      1     
rcv         8757.992       A       1      0       22752 
snd         8774.614       D       22852  50      1     
rcv         8792.056       A       1      0       22802 
snd         8810.043       D       22902  50      1     
rcv         8827.524       A       1      0       22852 
snd         8849.755       D       22952  50      1     
rcv         8855.361       A       1      0       22902 
snd         8872.281       D       23002  50      1     
rcv         8872.382       A       1      0       22952 
snd         8884.399       D       23052  50      1     
rcv         8884.618       A       1      0       23002 
snd         8890.694       D       23102  50      1     
rcv         8890.799       A       1      0       23052 
rcv         8906.542       A       1      0       23102 
snd         8906.633       D       23152  50      1     
rcv         8924.143       A       1      0       23152 
snd         8941.815       D       23202  50      1     
rcv         8958.916       A       1      0       23202 
snd         8970.263       D       23252  50      1     
rcv         8992.897       A       1      0       23252 
snd         9003.826       D       23302  50      1     
rcv         9003.911       A       1      0       23302 
snd         9020.732       D       23352  50      1     
rcv         9031.877       A       1      0       23352 
snd         9044.319       D       23402  50      1     
rcv         9061.496       A       1      0       23402 
snd         9078.398       D       23452  50      1     
rcv         9078.506       A       1      0       23452 
rcv         9095.207       A       1      0       23502 
snd         9095.433       D       23502  50      1     
rcv         9112.312       A       1      0       23552 
snd         9133.597       D       23552  50      1     
rcv         9144.248       A       1      0       23602 
snd         9149.737       D       23602  50      1     
rcv         9161.692       A       1      0       23652 
snd         9167.909       D       23652  50      1     
rcv         9168.039       A       1      0       23702 
snd         9185.242       D       23702  50      1     
rcv         9201.714       A       1      0       23752 
snd         9218.896       D       23752  50      1     
rcv         9241.694       A       1      0       23802 
snd         9247.903       D       23802  50      1     
rcv         9259.806       A       1      0       23852 
snd         9259.882       D       23852  50      1     
snd         9281.492       D       23902  50      1     
rcv         9297.894       A       1      0       23902 
snd         9309.263       D       23952  50      1     
rcv         9326.579       A       1      0       23952 
snd         9349.173       D       24002  50      1     
rcv         9355.744       A       1      0       24002 
snd         9372.38        D       24052  50      1     
rcv         9389.387       A       1      0       24052 
snd         9394.867       D       24102  50      1     
drop        9394.867       D       24152  50      1     
rcv         9395.017       A       1      0       24102 
snd         9405.829       D       24152  50      1     
rcv         9417.915       A       1      0       24152 
snd         9428.687       D       24202  50      1     
rcv         9434.957       A       1      0       24202 
snd         9440.909       D       24252  50      1     
rcv         9446.233       A       1      0       24252 
snd         9462.901       D       24302  50      1     
rcv         9463.16        A       1      0       24302 
snd         9485.301       D       24352  50      1     
rcv         9485.428       A       1      0       24352 
snd         9497.644       D       24402  50      1     
drop        9497.644       D       24452  50      1     
rcv         9503.931       A       1      0       24402 
snd         9509.913       D       24452  50      1     
rcv         9510.003       A       1      0       24452 
snd         9520.597       D       24502  50      1     
rcv         9525.937       A       1      0       24502 
snd         9542.98        D       24552  50      1     
rcv         9554.819       A       1      0       24552 
snd         9571.49        D       24602  50      1     
snd         9589.092       D       24652  50      1     
snd         9589.213       D       24702  50      1     
snd         9589.286       D       24752  50      1     
snd         9589.349       D       24802  50      1     
snd         9589.41        D       24852  50      1     
rcv         9595.439       A       1      0       24602 
rcv         9611.738       A       1      0       24652 
snd         9633.437       D       24902  50      1     
rcv         9633.591       A       1      0       24702 
snd         9639.393       D       24952  50      1     
rcv         9639.508       A       1      0       24752 
snd         9650.311       D       25002  50      1     
rcv         9655.837       A       1      0       24802 
snd         9671.624       D       25052  50      1     
rcv         9694.583       A       1      0       24852 
snd         9694.687       D       25102  50      1     
rcv         9712.575       A       1      0       24902 
snd         9734.903       D       25152  50      1     
rcv         9740.428       A       1      0       24952 
snd         9746.285       D       25202  50      1     
rcv         9758.01        A       1      0       25002 
snd         9763.345       D       25252  50      1     
rcv         9773.972       A       1      0       25052 
snd         9796.457       D       25302  50      1     
rcv         9802.409       A       1      0       25102 
snd         9808.621       D       25352  50      1     
rcv         9808.721       A       1      0       25152 
snd         9824.284       D       25402  50      1     
rcv         9840.13        A       1      0       25202 
snd         9863.366       D       25452  50      1     
rcv         9869.407       A       1      0       25252 
snd         9875.414       D       25502  50      1     
rcv         9892.613       A       1      0       25302 
rcv         9909.646       A       1      0       25352 
rcv         9909.781       A       1      0       25402 
snd         9920.561       D       25552  50      1     
rcv         9920.669       A       1      0       25452 
snd         9937.713       D       25602  50      1     
rcv         9948.176       A       1      0       25502 
rcv         9978.385       A       1      0       25552 
snd         9978.491       D       25652  50      1     
rcv         10000.58       A       1      0       25602 
snd         10011.717       D       25702  50      1     
rcv         10024.223       A       1      0       25652 
snd         10024.33       D       25752  50      1     
rcv         10041.267       A       1      0       25702 
snd         10057.589       D       25802  50      1     
rcv         10074.258       A       1      0       25752 
snd         10090.753       D       25852  50      1     
rcv         10107.136       A       1      0       25802 
snd         10122.85       D       25902  50      1     
snd         10140.712       D       25952  50      1     
rcv         10140.794       A       1      0       25852 
snd         10157.979       D       26002  50      1     
rcv         10175.468       A       1      0       25902 
snd         10193.028       D       26052  50      1     
rcv         10204.135       A       1      0       25952 
snd         10209.39       D       26102  50      1     
rcv         10237.331       A       1      0       26002 
snd         10237.439       D       26152  50      1     
rcv         10253.427       A       1      0       26052 
snd         10270.995       D       26202  50      1     
rcv         10276.325       A       1      0       26102 
snd         10282.654       D       26252  50      1     
rcv         10288.273       A       1      0       26152 
snd         10304.749       D       26302  50      1     
rcv         10321.976       A       1      0       26202 
rcv         10349.795       A       1      0       26252 
snd         10355.127       D       26352  50      1     
rcv         10372.507       A       1      0       26302 
snd         10390.76       D       26402  50      1     
rcv         10407.218       A       1      0       26352 
snd         10425.249       D       26452  50      1     
rcv         10441.487       A       1      0       26402 
snd         10452.671       D       26502  50      1     
rcv         10463.999       A       1      0       26452 
snd         10475.044       D       26552  50      1     
rcv         10480.614       A       1      0       26502 
snd         10493.408       D       26602  50      1     
drop        10493.408       D       26652  50      1     
rcv         10510.867       A       1      0       26552 
snd         10522.541       D       26652  50      1     
rcv         10534.114       A       1      0       26602 
snd         10550.443       D       26702  50      1     
rcv         10555.845       A       1      0       26652 
snd         10561.829       D       26752  50      1     
rcv         10572.793       A       1      0       26702 
snd         10578.469       D       26802  50      1     
rcv         10601.341       A       1      0       26752 
snd         10618.035       D       26852  50      1     
rcv         10624.257       A       1      0       26802 
snd         10630.528       D       26902  50      1     
rcv         10641.572       A       1      0       26852 
snd         10641.816       D       26952  50      1     
rcv         10664.693       A       1      0       26902 
snd         10664.81       D       27002  50      1     
snd         10670.46       D       27052  50      1     
rcv         10670.58       A       1      0       26952 
snd         10676.311       D       27102  50      1     
rcv         10682.859       A       1      0       27002 
snd         10694.138       D       27152  50      1     
rcv         10700.454       A       1      0       27052 
rcv         10718.004       A       1      0       27102 
rcv         10718.114       A       1      0       27152 
rcv         10718.177       A       1      0       27202 
snd         10730.086       D       27202  50      1     
snd         10736.6        D       27252  50      1     
rcv         10736.779       A       1      0       27252 
rcv         10742.33       A       1      0       27302 
snd         10742.418       D       27302  50      1     
rcv         10760.914       A       1      0       27352 
snd         10778.864       D       27352  50      1     
rcv         10795.217       A       1      0       27402 
snd         10812.298       D       27402  50      1     
rcv         10812.546       A       1      0       27452 
snd         10818.517       D       27452  50      1     
rcv         10824.255       A       1      0       27502 
snd         10829.746       D       27502  50      1     
rcv         10840.838       A       1      0       27552 
snd         10857.755       D       27552  50      1     
rcv         10880.417       A       1      0       27602 
snd         10886.329       D       27602  50      1     
rcv         10903.024       A       1      0       27652 
snd         10913.828       D       27652  50      1     
drop        10913.828       D       27702  50      1     
snd         10930.606       D       27702  50      1     
drop        10930.606       D       27752  50      1     
rcv         10930.758       A       1      0       27702 
snd         10936.736       D       27752  50      1     
rcv         10942.046       A       1      0       27752 
snd         10953.217       D       27802  50      1     
rcv         10969.657       A       1      0       27802 
snd         10980.637       D       27852  50      1     
drop        10980.637       D       27902  50      1     
rcv         10993.117       A       1      0       27852 
rcv         10993.254       A       1      0       27902 
snd         11021.086       D       27902  50      1     
snd         11027.676       D       27952  50      1     
rcv         11027.797       A       1      0       27952 
snd         11045.52       D       28002  50      1     
drop        11045.52       D       28052  50      1     
rcv         11062.812       A       1      0       28002 
snd         11085.171       D       28052  50      1     
rcv         11090.47       A       1      0       28052 
snd         11097.005       D       28102  50      1     
rcv         11113.154       A       1      0       28102 
snd         11129.794       D       28152  50      1     
rcv         11145.57       A       1      0       28152 
rcv         11162.618       A       1      0       28202 
snd         11174.328       D       28202  50      1     
rcv         11180.481       A       1      0       28252 
snd         11186.511       D       28252  50      1     
rcv         11191.844       A       1      0       28302 
snd         11209.098       D       28302  50      1     
rcv         11225.594       A       1      0       28352 
snd         11241.979       D       28352  50      1     
rcv         11260.319       A       1      0       28402 
snd         11275.923       D       28402  50      1     
rcv         11281.216       A       1      0       28452 
snd         11292.923       D       28452  50      1     
rcv         11304.419       A       1      0       28502 
snd         11315.499       D       28502  50      1     
rcv         11331.931       A       1      0       28552 
snd         11337.202       D       28552  50      1     
rcv         11343.304       A       1      0       28602 
snd         11367.0        D       28602  50      1     
rcv         11379.122       A       1      0       28652 
snd         11379.21       D       28652  50      1     
rcv         11396.574       A       1      0       28702 
snd         11412.572       D       28702  50      1     
rcv         11429.245       A       1      0       28752 
snd         11451.616       D       28752  50      1     
rcv         11457.045       A       1      0       28802 
snd         11462.118       D       28802  50      1     
drop        11462.118       D       28852  50      1     
snd         11472.826       D       28852  50      1     
rcv         11478.115       A       1      0       28852 
snd         11483.6        D       28902  50      1     
drop        11483.6        D       28952  50      1     
drop        11483.6        D       28952  50      1     
rcv         11489.079       A       1      0       28902 
snd         11494.982       D       28952  50      1     
rcv         11495.071       A       1      0       28952 
snd         11511.865       D       29002  50      1     
rcv         11528.616       A       1      0       29002 
snd         11540.434       D       29052  50      1     
rcv         11563.063       A       1      0       29052 
snd         11569.505       D       29102  50      1     
rcv         11575.194       A       1      0       29102 
snd         11592.706       D       29152  50      1     
rcv         11609.591       A       1      0       29152 
snd         11625.958       D       29202  50      1     
rcv         11636.865       A       1      0       29202 
snd         11652.856       D       29252  50      1     
rcv         11658.646       A       1      0       29252 
snd         11675.706       D       29302  50      1     
rcv         11698.501       A       1      0       29302 
snd         11704.555       D       29352  50      1     
rcv         11720.847       A       1      0       29352 
snd         11739.657       D       29402  50      1     
rcv         11760.636       A       1      0       29402 
snd         11760.734       D       29452  50      1     
rcv         11778.473       A       1      0       29452 
snd         11794.598       D       29502  50      1     
rcv         11804.894       A       1      0       29502 
snd         11816.78       D       29552  50      1     
rcv         11834.449       A       1      0       29552 
snd         11851.594       D       29602  50      1     
drop        11851.594       D       29652  50      1     
rcv         11874.503       A       1      0       29602 
snd         11874.618       D       29652  50      1     
rcv         11890.825       A       1      0       29652 
snd         11907.551       D       29702  50      1     
drop        11907.551       D       29752  50      1     
rcv         11925.852       A       1      0       29702 
snd         11931.272       D       29752  50      1     
rcv         11949.158       A       1      0       29752 
snd         11966.119       D       29802  50      1     
rcv         11983.122       A       1      0       29802 
snd         11999.691       D       29852  50      1     
rcv         12016.938       A       1      0       29852 
snd         12033.21       D       29902  50      1     
rcv         12050.26       A       1      0       29902 
snd         12060.429       D       29952  50      1     
rcv         12065.818       A       1      0       29952 
snd         12082.705       D       30002  50      1     
rcv         12088.218       A       1      0       30002 
snd         12104.653       D       30052  50      1     
rcv         12122.298       A       1      0       30052 
snd         12133.914       D       30102  50      1     
drop        12133.914       D       30152  50      1     
rcv         12139.169       A       1      0       30102 
snd         12150.41       D       30152  50      1     
rcv         12172.723       A       1      0       30152 
snd         12172.888       D       30202  50      1     
rcv         12196.989       A       1      0       30202 
snd         12197.152       D       30252  50      1     
rcv         12203.093       A       1      0       30252 
snd         12208.635       D       30302  50      1     
rcv         12230.844       A       1      0       30302 
snd         12237.273       D       30352  50      1     
rcv         12237.436       A       1      0       30352 
snd         12253.71       D       30402  50      1     
drop        12253.71       D       30452  50      1     
rcv         12263.954       A       1      0       30402 
snd         12275.369       D       30452  50      1     
drop        12275.369       D       30502  50      1     
rcv         12281.178       A       1      0       30452 
snd         12286.683       D       30502  50      1     
rcv         12298.38       A       1      0       30502 
snd         12316.418       D       30552  50      1     
drop        12316.418       D       30602  50      1     
rcv         12333.169       A       1      0       30552 
rcv         12350.781       A       1      0       30602 
snd         12362.444       D       30602  50      1     
rcv         12362.622       A       1      0       30652 
snd         12368.745       D       30652  50      1     
rcv         12385.815       A       1      0       30702 
snd         12403.824       D       30702  50      1     
drop        12403.824       D       30752  50      1     
rcv         12421.511       A       1      0       30752 
snd         12421.614       D       30752  50      1     
rcv         12434.054       A       1      0       30802 
snd         12449.481       D       30802  50      1     
rcv         12461.603       A       1      0       30852 
snd         12472.855       D       30852  50      1     
rcv         12491.061       A       1      0       30902 
snd         12491.258       D       30902  50      1     
rcv         12501.952       A       1      0       30952 
snd         12518.909       D       30952  50      1     
rcv         12536.534       A       1      0       31002 
snd         12542.909       D       31002  50      1     
rcv         12548.978       A       1      0       31052 
snd         12571.617       D       31052  50      1     
snd         12577.406       D       31102  50      1     
rcv         12577.53       A       1      0       31102 
snd         12594.016       D       31152  50      1     
rcv         12611.433       A       1      0       31152 
snd         12633.974       D       31202  50      1     
snd         12634.122       D       31252  50      1     
rcv         12634.208       A       1      0       31202 
snd         12639.721       D       31302  50      1     
rcv         12645.598       A       1      0       31252 
snd         12663.176       D       31352  50      1     
rcv         12680.349       A       1      0       31302 
snd         12691.52       D       31402  50      1     
rcv         12719.13       A       1      0       31352 
snd         12719.356       D       31452  50      1     
rcv         12731.406       A       1      0       31402 
snd         12741.85       D       31502  50      1     
rcv         12741.992       A       1      0       31452 
snd         12754.035       D       31552  50      1     
rcv         12772.04       A       1      0       31502 
snd         12790.15       D       31602  50      1     
rcv         12813.191       A       1      0       31552 
snd         12830.68       D       31652  50      1     
rcv         12842.415       A       1      0       31602 
snd         12853.984       D       31702  50      1     
rcv         12870.276       A       1      0       31652 
snd         12885.938       D       31752  50      1     
rcv         12908.663       A       1      0       31702 
rcv         12914.19       A       1      0       31752 
snd         12914.292       D       31802  50      1     
rcv         12931.458       A       1      0       31802 
snd         12943.126       D       31852  50      1     
rcv         12960.82       A       1      0       31852 
snd         12978.53       D       31902  50      1     
rcv         12983.935       A       1      0       31902 
rcv         12984.074       A       1      0       31952 
snd         12995.485       D       31952  50      1     
snd         13000.875       D       32002  50      1     
rcv         13006.151       A       1      0       32002 
snd         13006.333       D       32052  50      1     
rcv         13011.648       A       1      0       32052 
rcv         13029.634       A       1      0       32102 
snd         13034.844       D       32102  50      1     
rcv         13040.854       A       1      0       32152 
snd         13052.054       D       32152  50      1     
rcv         13063.821       A       1      0       32202 
snd         13079.669       D       32202  50      1     
rcv         13096.71       A       1      0       32252 
snd         13119.888       D       32252  50      1     
rcv         13125.685       A       1      0       32302 
snd         13131.704       D       32302  50      1     
rcv         13137.635       A       1      0       32352 
snd         13148.321       D       32352  50      1     
rcv         13160.531       A       1      0       32402 
snd         13172.534       D       32402  50      1     
rcv         13179.116       A       1      0       32452 
snd         13196.056       D       32452  50      1     
rcv         13213.037       A       1      0       32502 
snd         13229.973       D       32502  50      1     
rcv         13230.26       A       1      0       32552 
snd         13235.53       D       32552  50      1     
rcv         13240.978       A       1      0       32602 
snd         13246.503       D       32602  50      1     
rcv         13263.75       A       1      0       32652 
snd         13269.967       D       32652  50      1     
rcv         13286.414       A       1      0       32702 
snd         13308.717       D       32702  50      1     
rcv         13308.875       A       1      0       32752 
snd         13314.267       D       32752  50      1     
drop        13314.267       D       32802  50      1     
rcv         13337.005       A       1      0       32802 
snd         13342.876       D       32802  50      1     
rcv         13359.18       A       1      0       32852 
snd         13377.055       D       32852  50      1     
rcv         13392.989       A       1      0       32902 
snd         13415.461       D       32902  50      1     
rcv         13415.653       A       1      0       32952 
snd         13426.62       D       32952  50      1     
snd         13433.318       D       33002  50      1     
rcv         13433.44       A       1      0       33002 
snd         13450.659       D       33052  50      1     
rcv         13468.028       A       1      0       33052 
snd         13485.736       D       33102  50      1     
rcv         13507.72       A       1      0       33102 
snd         13513.24       D       33152  50      1     
rcv         13518.766       A       1      0       33152 
rcv         13518.903       A       1      0       33202 
snd         13530.748       D       33202  50      1     
rcv         13536.663       A       1      0       33252 
snd         13542.766       D       33252  50      1     
rcv         13548.399       A       1      0       33302 
snd         13559.961       D       33302  50      1     
rcv         13583.186       A       1      0       33352 
snd         13595.05       D       33352  50      1     
rcv         13601.15       A       1      0       33402 
snd         13616.681       D       33402  50      1     
drop        13616.681       D       33452  50      1     
rcv         13633.225       A       1      0       33452 
snd         13675.722       D       33452  50      1     
rcv         13681.464       A       1      0       33502 
snd         13687.115       D       33502  50      1     
rcv         13687.328       A       1      0       33552 
snd         13687.603       D       33552  50      1     
snd         13687.823       D       33602  50      1     
rcv         13705.571       A       1      0       33602 
rcv         13716.91       A       1      0       33652 
snd         13733.164       D       33652  50      1     
rcv         13751.599       A       1      0       33702 
snd         13767.54       D       33702  50      1     
rcv         13784.354       A       1      0       33752 
snd         13801.943       D       33752  50      1     
rcv         13813.322       A       1      0       33802 
snd         13824.413       D       33802  50      1     
rcv         13835.907       A       1      0       33852 
snd         13841.282       D       33852  50      1     
rcv         13847.65       A       1      0       33902 
snd         13864.364       D       33902  50      1     
rcv         13874.773       A       1      0       33952 
snd         13885.822       D       33952  50      1     
drop        13885.822       D       34002  50      1     
rcv         13903.329       A       1      0       34002 
snd         13919.529       D       34002  50      1     
rcv         13936.691       A       1      0       34052 
snd         13948.145       D       34052  50      1     
rcv         13958.906       A       1      0       34102 
snd         13981.504       D       34102  50      1     
rcv         13994.358       A       1      0       34152 
snd         13994.532       D       34152  50      1     
snd         14006.177       D       34202  50      1     
snd         14006.365       D       34252  50      1     
rcv         14011.618       A       1      0       34202 
snd         14011.728       D       34302  50      1     
drop        14011.728       D       34352  50      1     
rcv         14023.08       A       1      0       34252 
snd         14023.262       D       34352  50      1     
rcv         14041.03       A       1      0       34302 
snd         14046.32       D       34402  50      1     
drop        14046.32       D       34452  50      1     
rcv         14051.896       A       1      0       34352 
snd         14063.676       D       34452  50      1     
rcv         14075.073       A       1      0       34402 
rcv         14092.554       A       1      0       34452 
snd         14092.716       D       34502  50      1     
rcv         14098.072       A       1      0       34502 
snd         14104.665       D       34552  50      1     
rcv         14110.013       A       1      0       34552 
snd         14110.138       D       34602  50      1     
rcv         14138.977       A       1      0       34602 
snd         14139.089       D       34652  50      1     
rcv         14155.683       A       1      0       34652 
snd         14173.212       D       34702  50      1     
rcv         14196.411       A       1      0       34702 
snd         14196.509       D       34752  50      1     
rcv         14218.429       A       1      0       34752 
snd         14224.688       D       34802  50      1     
rcv         14247.714       A       1      0       34802 
snd         14247.833       D       34852  50      1     
rcv         14264.608       A       1      0       34852 
snd         14282.051       D       34902  50      1     
rcv         14293.388       A       1      0       34902 
snd         14305.319       D       34952  50      1     
rcv         14322.143       A       1      0       34952 
snd         14339.607       D       35002  50      1     
rcv         14362.748       A       1      0       35002 
snd         14379.046       D       35052  50      1     
rcv         14397.254       A       1      0       35052 
snd         14409.215       D       35102  50      1     
rcv         14409.366       A       1      0       35102 
snd         14409.511       D       35152  50      1     
drop        14409.511       D       35202  50      1     
drop        14409.511       D       35202  50      1     
drop        14409.511       D       35202  50      1     
drop        14409.511       D       35202  50      1     
rcv         14416.046       A       1      0       35152 
snd         14421.409       D       35202  50      1     
rcv         14445.106       A       1      0       35202 
snd         14461.781       D       35252  50      1     
rcv         14472.8        A       1      0       35252 
snd         14490.245       D       35302  50      1     
rcv         14500.783       A       1      0       35302 
snd         14512.714       D       35352  50      1     
rcv         14512.889       A       1      0       35352 
snd         14518.348       D       35402  50      1     
rcv         14524.354       A       1      0       35402 
snd         14536.737       D       35452  50      1     
rcv         14553.414       A       1      0       35452 
snd         14565.405       D       35502  50      1     
rcv         14577.824       A       1      0       35502 
snd         14593.562       D       35552  50      1     
rcv         14609.787       A       1      0       35552 
snd         14615.511       D       35602  50      1     
rcv         14633.229       A       1      0       35602 
snd         14644.564       D       35652  50      1     
rcv         14661.565       A       1      0       35652 
snd         14661.721       D       35702  50      1     
rcv         14661.824       A       1      0       35702 
snd         14661.946       D       35752  50      1     
rcv         14662.052       A       1      0       35752 
snd         14662.19       D       35802  50      1     
rcv         14668.483       A       1      0       35802 
snd         14674.376       D       35852  50      1     
rcv         14692.212       A       1      0       35852 
snd         14698.395       D       35902  50      1     
rcv         14698.543       A       1      0       35902 
snd         14704.711       D       35952  50      1     
rcv         14716.578       A       1      0       35952 
snd         14716.85       D       36002  50      1     
rcv         14723.146       A       1      0       36002 
snd         14734.718       D       36052  50      1     
rcv         14751.61       A       1      0       36052 
snd         14768.729       D       36102  50      1     
rcv         14780.221       A       1      0       36102 
snd         14780.346       D       36152  50      1     
drop        14780.346       D       36202  50      1     
rcv         14796.104       A       1      0       36152 
snd         14811.766       D       36202  50      1     
rcv         14816.949       A       1      0       36202 
snd         14823.107       D       36252  50      1     
rcv         14840.963       A       1      0       36252 
snd         14857.46       D       36302  50      1     
rcv         14868.59       A       1      0       36302 
rcv         14874.398       A       1      0       36352 
snd         14874.51       D       36352  50      1     
rcv         14885.649       A       1      0       36402 
snd         14896.769       D       36402  50      1     
drop        14896.769       D       36452  50      1     
rcv         14915.085       A       1      0       36452 
snd         14938.483       D       36452  50      1     
rcv         14944.122       A       1      0       36502 
snd         14955.748       D       36502  50      1     
rcv         14961.445       A       1      0       36552 
snd         14966.648       D       36552  50      1     
rcv         14977.082       A       1      0       36602 
snd         14983.04       D       36602  50      1     
rcv         14989.291       A       1      0       36652 
snd         15001.237       D       36652  50      1     
rcv         15018.846       A       1      0       36702 
snd         15036.816       D       36702  50      1     
rcv         15048.744       A       1      0       36752 
snd         15054.141       D       36752  50      1     
rcv         15071.253       A       1      0       36802 
snd         15071.381       D       36802  50      1     
rcv         15088.742       A       1      0       36852 
snd         15112.831       D       36852  50      1     
rcv         15119.359       A       1      0       36902 
snd         15131.419       D       36902  50      1     
rcv         15136.802       A       1      0       36952 
snd         15154.748       D       36952  50      1     
rcv         15172.031       A       1      0       37002 
snd         15189.085       D       37002  50      1     
drop        15189.085       D       37052  50      1     
rcv         15211.095       A       1      0       37052 
snd         15211.235       D       37052  50      1     
rcv         15228.496       A       1      0       37102 
snd         15240.59       D       37102  50      1     
rcv         15240.831       A       1      0       37152 
snd         15247.202       D       37152  50      1     
rcv         15258.607       A       1      0       37202 
snd         15264.978       D       37202  50      1     
snd         15270.937       D       37252  50      1     
rcv         15277.47       A       1      0       37252 
snd         15283.015       D       37302  50      1     
rcv         15295.215       A       1      0       37302 
snd         15295.32       D       37352  50      1     
snd         15323.564       D       37402  50      1     
rcv         15323.671       A       1      0       37352 
snd         15340.939       D       37452  50      1     
rcv         15357.782       A       1      0       37402 
snd         15375.096       D       37502  50      1     
rcv         15391.937       A       1      0       37452 
snd         15403.532       D       37552  50      1     
rcv         15408.966       A       1      0       37502 
snd         15409.227       D       37602  50      1     
rcv         15415.493       A       1      0       37552 
snd         15421.498       D       37652  50      1     
rcv         15442.427       A       1      0       37602 
snd         15459.747       D       37702  50      1     
rcv         15476.468       A       1      0       37652 
snd         15504.739       D       37752  50      1     
rcv         15526.558       A       1      0       37702 
snd         15538.046       D       37802  50      1     
rcv         15538.177       A       1      0       37752 
snd         15555.933       D       37852  50      1     
rcv         15572.584       A       1      0       37802 
snd         15584.937       D       37902  50      1     
rcv         15596.732       A       1      0       37852 
snd         15613.361       D       37952  50      1     
rcv         15629.928       A       1      0       37902 
snd         15642.389       D       38002  50      1     
rcv         15665.033       A       1      0       37952 
snd         15671.417       D       38052  50      1     
rcv         15677.533       A       1      0       38002 
snd         15693.345       D       38102  50      1     
rcv         15705.144       A       1      0       38052 
snd         15727.49       D       38152  50      1     
rcv         15733.202       A       1      0       38102 
snd         15749.33       D       38202  50      1     
rcv         15766.508       A       1      0       38152 
rcv         15789.805       A       1      0       38202 
snd         15795.643       D       38252  50      1     
rcv         15801.347       A       1      0       38252 
snd         15817.146       D       38302  50      1     
rcv         15835.382       A       1      0       38302 
snd         15851.898       D       38352  50      1     
drop        15851.898       D       38402  50      1     
rcv         15869.906       A       1      0       38352 
snd         15875.985       D       38402  50      1     
rcv         15892.549       A       1      0       38402 
snd         15909.344       D       38452  50      1     
rcv         15927.054       A       1      0       38452 
snd         15944.219       D       38502  50      1     
rcv         15944.356       A       1      0       38502 
snd         15967.81       D       38552  50      1     
rcv         15974.011       A       1      0       38552 
snd         15980.484       D       38602  50      1     
rcv         15991.841       A       1      0       38602 
snd         16009.369       D       38652  50      1     
rcv         16021.786       A       1      0       38652 
snd         16040.403       D       38702  50      1     
rcv         16052.951       A       1      0       38702 
snd         16058.867       D       38752  50      1     
rcv         16074.732       A       1      0       38752 
snd         16091.834       D       38802  50      1     
rcv         16103.742       A       1      0       38802 
snd         16115.188       D       38852  50      1     
rcv         16126.294       A       1      0       38852 
snd         16137.97       D       38902  50      1     
rcv         16149.109       A       1      0       38902 
snd         16161.753       D       38952  50      1     
rcv         16179.049       A       1      0       38952 
snd         16196.692       D       39002  50      1     
rcv         16214.819       A       1      0       39002 
snd         16232.655       D       39052  50      1     
drop        16232.655       D       39102  50      1     
rcv         16238.32       A       1      0       39052 
snd         16255.635       D       39102  50      1     
