<msg_type>  <time>  <packet_type>  <seq>  <size>  <ack>
rcv         1660.818       A       1      0       4152  
snd         1671.152       D       4202   50      1     
rcv         1677.133       A       1      0       4202  
rcv         1692.93        A       1      0       4252  
snd         1698.274       D       4252   50      1     
rcv         1704.497       A       1      0       4302  
snd         1721.394       D       4302   50      1     
rcv         1737.566       A       1      0       4352  
snd         1754.018       D       4352   50      1     
rcv         1765.449       A       1      0       4402  
snd         1771.209       D       4402   50      1     
rcv         1776.816       A       1      0       4452  
snd         1788.481       D       4452   50      1     
rcv         1793.952       A       1      0       4502  
snd         1805.673       D       4502   50      1     
rcv         1821.502       A       1      0       4552  
snd         1840.287       D       4552   50      1     
rcv         1851.211       A       1      0       4602  
snd         1856.75        D       4602   50      1     
rcv         1861.995       A       1      0       4652  
snd         1885.463       D       4652   50      1     
rcv         1896.85        A       1      0       4702  
snd         1896.909       D       4702   50      1     
drop        1896.909       D       4752   50      1     
rcv         1909.224       A       1      0       4752  
snd         1915.527       D       4752   50      1     
rcv         1927.043       A       1      0       4802  
snd         1939.032       D       4802   50      1     
rcv         1954.735       A       1      0       4852  
snd         1972.406       D       4852   50      1     
rcv         1983.852       A       1      0       4902  
snd         1994.647       D       4902   50      1     
rcv         2012.641       A       1      0       4952  
snd         2030.241       D       4952   50      1     
rcv         2041.402       A       1      0       5002  
snd         2041.509       D       5002   50      1     
rcv         2047.714       A       1      0       5052  
snd         2059.932       D       5052   50      1     
rcv         2071.37        A       1      0       5102  
snd         2083.723       D       5102   50      1     
rcv         2094.571       A       1      0       5152  
snd         2106.033       D       5152   50      1     
snd         2122.965       D       5202   50      1     
rcv         2128.332       A       1      0       5202  
snd         2134.64        D       5252   50      1     
rcv         2146.341       A       1      0       5252  
snd         2157.616       D       5302   50      1     
rcv         2175.027       A       1      0       5302  
snd         2192.358       D       5352   50      1     
rcv         2208.561       A       1      0       5352  
snd         2224.997       D       5402   50      1     
rcv         2237.136       A       1      0       5402  
snd         2247.892       D       5452   50      1     
rcv         2263.938       A       1      0       5452  
rcv         2297.605       A       1      0       5502  
snd         2303.091       D       5502   50      1     
rcv         2303.18        A       1      0       5552  
snd         2320.344       D       5552   50      1     
rcv         2325.657       A       1      0       5602  
snd         2330.844       D       5602   50      1     
snd         2337.055       D       5652   50      1     
rcv         2337.161       A       1      0       5652  
snd         2342.533       D       5702   50      1     
rcv         2353.991       A       1      0       5702  
